Yield_Bags_Per_Acre,Soil_Type=Clay,Soil_Type=Loam,Soil_Type=Peat,Soil_Type=Sandy,Soil_Type=Silt,pH=acidic,pH=alkaline,pH=base,Seed_Variety=Drought-Resistant,Seed_Variety=Early-Maturing,Seed_Variety=Hybrid A,Seed_Variety=Hybrid B,Seed_Variety=Open-Pollinated,Rainfall_mm,Temperature_C,Humidity_%,Planting_Date=April,Planting_Date=June,Planting_Date=March,Planting_Date=May,Fertilizer_Type=Compost,Fertilizer_Type=DAP,Fertilizer_Type=NPK,Fertilizer_Type=Organic,Fertilizer_Type=Urea
23,1,0,0,0,0,0,1,0,0,0,0,0,1,817.48,0.445286,73.64,1,0,0,0,1,0,0,0,0
12,0,0,1,0,0,1,0,0,0,0,0,1,0,817.96,0.683502,56.96,0,1,0,0,0,0,1,0,0
16,0,0,1,0,0,0,1,0,0,1,0,0,0,715.31,0.751684,53.57,0,0,1,0,0,0,0,0,1
10,0,1,0,0,0,0,1,0,0,0,1,0,0,657.71,0.749158,56.17,1,0,0,0,0,0,0,1,0
27,0,0,0,0,1,0,1,0,0,0,0,1,0,750.8,0.780303,56.19,0,1,0,0,0,0,1,0,0
23,0,1,0,0,0,1,0,0,0,0,1,0,0,1055.38,0.215488,81.98,0,0,0,1,0,0,1,0,0
27,0,0,0,0,1,0,1,0,0,0,0,1,0,451.51,0.477273,87.59,1,0,0,0,0,0,1,0,0
35,0,0,0,0,1,0,1,0,0,0,0,0,1,479.25,0.617845,52.4,1,0,0,0,0,0,1,0,0
17,1,0,0,0,0,0,1,0,0,1,0,0,0,459.05,0.291246,87.2,0,1,0,0,1,0,0,0,0
19,0,0,1,0,0,0,0,1,0,0,1,0,0,1084.82,0.753367,51.21,0,0,1,0,0,1,0,0,0
23,0,1,0,0,0,1,0,0,0,0,0,0,1,1104.32,0.248316,79.55,1,0,0,0,1,0,0,0,0
13,1,0,0,0,0,0,0,1,0,0,1,0,0,776.7,0.315657,57.33,0,1,0,0,0,1,0,0,0
17,0,0,0,0,1,1,0,0,1,0,0,0,0,530.22,0.752525,80.63,0,0,1,0,0,1,0,0,0
29,0,0,0,1,0,1,0,0,0,1,0,0,0,869.81,0.431818,56.69,1,0,0,0,0,0,0,1,0
12,0,0,0,1,0,0,1,0,0,1,0,0,0,829.81,0.210438,62.84,1,0,0,0,0,0,1,0,0
20,0,0,0,1,0,0,0,1,0,0,1,0,0,1016.89,0.588384,83.18,0,0,0,1,0,0,0,1,0
30,1,0,0,0,0,0,1,0,0,0,0,0,1,1003.54,0.899832,63.02,0,0,1,0,1,0,0,0,0
22,0,0,0,0,1,0,1,0,0,1,0,0,0,963.6,0.683502,61.79,0,1,0,0,1,0,0,0,0
19,1,0,0,0,0,1,0,0,0,0,0,1,0,1196.52,0.27862,65.64,0,0,0,1,0,1,0,0,0
35,0,0,0,0,1,1,0,0,0,0,1,0,0,783.55,0.780303,59.88,1,0,0,0,0,0,0,1,0
18,0,0,0,0,1,0,1,0,0,1,0,0,0,974.82,0.979798,57.55,0,1,0,0,0,0,0,1,0
35,0,0,1,0,0,0,0,1,0,0,0,1,0,1064.99,0.104377,80.01,0,1,0,0,0,1,0,0,0
14,0,0,1,0,0,1,0,0,1,0,0,0,0,870.6,0.27862,82.93,0,0,0,1,0,1,0,0,0
18,0,0,0,1,0,1,0,0,0,1,0,0,0,479.25,0.0681818,73.11,0,0,0,1,0,1,0,0,0
31,0,0,0,0,1,0,1,0,0,1,0,0,0,650.91,0.329966,57.65,1,0,0,0,0,0,1,0,0
30,0,0,0,0,1,0,1,0,0,0,1,0,0,876.13,0.834175,59.39,0,1,0,0,1,0,0,0,0
28,0,0,1,0,0,1,0,0,0,0,1,0,0,860.27,0.835017,64.32,0,1,0,0,0,0,0,1,0
22,0,0,0,0,1,1,0,0,0,0,0,0,1,1117.49,0.186869,89.81,0,0,1,0,0,1,0,0,0
30,0,0,0,0,1,0,0,1,1,0,0,0,0,622.58,0.751684,86.78,0,1,0,0,0,0,1,0,0
30,0,0,0,1,0,1,0,0,0,1,0,0,0,721.83,0.526936,76.29,0,0,1,0,0,0,0,0,1
26,0,0,0,0,1,0,1,0,1,0,0,0,0,1036,0.48064,69.01,0,1,0,0,0,0,0,0,1
20,1,0,0,0,0,0,0,1,0,0,1,0,0,1048.88,0.692761,63.51,1,0,0,0,0,0,0,0,1
27,0,0,1,0,0,0,1,0,1,0,0,0,0,420.83,0.493266,50.15,0,0,0,1,1,0,0,0,0
10,0,0,1,0,0,0,0,1,0,1,0,0,0,835.15,0.590909,58.9,0,0,1,0,1,0,0,0,0
12,0,0,0,0,1,0,1,0,0,0,1,0,0,776.7,0.259259,59.62,0,1,0,0,0,0,0,0,1
23,0,0,1,0,0,0,1,0,0,0,0,1,0,532.46,0.866162,50.96,0,0,1,0,0,0,1,0,0
18,1,0,0,0,0,0,0,1,0,0,0,0,1,520.16,0.722222,67.99,0,0,0,1,0,1,0,0,0
26,0,0,1,0,0,0,0,1,0,0,1,0,0,727.13,0.737374,80.74,0,0,0,1,1,0,0,0,0
26,0,1,0,0,0,1,0,0,0,0,1,0,0,895.2,0.780303,71.36,0,0,1,0,0,0,1,0,0
16,0,0,0,1,0,0,1,0,0,1,0,0,0,1065.14,0.68266,65.77,0,0,1,0,0,0,0,0,1
30,1,0,0,0,0,0,1,0,0,0,1,0,0,787.76,0.88468,76.36,1,0,0,0,1,0,0,0,0
10,0,1,0,0,0,0,0,1,0,0,0,1,0,600.5,0.251684,73.49,1,0,0,0,0,0,0,1,0
16,1,0,0,0,0,0,1,0,0,0,0,1,0,771.9,0.89899,84.04,0,0,0,1,0,0,1,0,0
20,0,0,1,0,0,0,1,0,0,0,1,0,0,863.57,0.45202,65.56,1,0,0,0,0,0,0,1,0
31,0,0,0,0,1,0,1,0,0,0,0,1,0,1065.14,0.0193603,65.64,0,0,0,1,1,0,0,0,0
18,0,1,0,0,0,0,1,0,0,0,1,0,0,1045.13,0.835017,69.5,0,1,0,0,1,0,0,0,0
14,0,0,0,1,0,0,1,0,0,0,1,0,0,983.06,0.314815,74.62,0,0,0,1,1,0,0,0,0
15,0,0,0,1,0,0,0,1,1,0,0,0,0,540.17,0.469697,65.94,1,0,0,0,0,1,0,0,0
31,0,0,0,0,1,1,0,0,0,0,0,0,1,983.34,0.81229,84.84,0,1,0,0,0,1,0,0,0
16,0,0,1,0,0,1,0,0,0,0,0,1,0,1036,0.248316,55.51,0,0,1,0,0,0,1,0,0
24,0,0,1,0,0,0,0,1,1,0,0,0,0,961.2,0.989899,84.04,0,1,0,0,0,0,0,0,1
33,0,0,0,1,0,0,0,1,0,0,0,0,1,729.49,0.440236,83.61,0,0,1,0,0,0,0,0,1
27,0,1,0,0,0,0,0,1,0,0,0,1,0,1141.06,0.0387205,56.96,0,0,0,1,1,0,0,0,0
15,0,0,1,0,0,0,1,0,0,1,0,0,0,869.81,0.361953,77.05,0,1,0,0,1,0,0,0,0
31,1,0,0,0,0,0,1,0,1,0,0,0,0,973.41,0.236532,85.29,1,0,0,0,0,0,1,0,0
14,0,0,0,1,0,0,1,0,0,1,0,0,0,845.8,0.248316,54.07,0,0,0,1,0,1,0,0,0
21,0,0,0,0,1,0,1,0,0,0,1,0,0,1010.16,0.68266,66.52,0,0,1,0,0,0,0,0,1
12,0,1,0,0,0,0,1,0,0,0,0,1,0,958.96,0.215488,88.23,0,0,1,0,1,0,0,0,0
12,0,0,0,1,0,0,1,0,1,0,0,0,0,556.24,0.0252525,51.51,1,0,0,0,0,0,0,1,0
33,0,0,0,0,1,0,0,1,0,0,0,0,1,540.17,0.995791,60.91,1,0,0,0,0,0,1,0,0
28,1,0,0,0,0,0,0,1,0,0,1,0,0,711.25,0.30303,81.18,1,0,0,0,0,1,0,0,0
10,0,0,0,1,0,0,0,1,0,0,0,0,1,863.57,0.506734,75.49,0,0,1,0,0,0,0,1,0
16,0,0,0,1,0,0,1,0,0,0,0,1,0,1105.29,0.835017,79.55,0,1,0,0,0,1,0,0,0
35,0,0,0,0,1,0,1,0,1,0,0,0,0,961.2,0.974747,57.66,0,1,0,0,1,0,0,0,0
12,0,0,0,1,0,1,0,0,0,0,0,1,0,432.2,0.0412458,63.53,0,0,0,1,1,0,0,0,0
31,0,0,1,0,0,0,1,0,1,0,0,0,0,423.25,0.402357,69.65,0,0,0,1,0,0,0,1,0
34,0,0,0,1,0,1,0,0,0,0,1,0,0,621.49,0.117003,58.12,0,1,0,0,0,1,0,0,0
35,0,0,0,1,0,0,1,0,1,0,0,0,0,1172.65,0.526936,71.33,0,1,0,0,0,0,0,1,0
16,1,0,0,0,0,0,1,0,0,1,0,0,0,526.47,0.531987,64.16,0,0,1,0,0,0,0,1,0
16,0,1,0,0,0,1,0,0,0,0,0,0,1,1196.52,0.27862,88.4,0,0,0,1,0,0,0,0,1
25,0,0,0,0,1,0,1,0,0,0,0,0,1,771.9,0.393098,52.06,1,0,0,0,1,0,0,0,0
12,0,0,0,0,1,0,0,1,1,0,0,0,0,1005.85,0.737374,76.03,0,1,0,0,0,0,0,1,0
11,0,0,1,0,0,0,1,0,0,0,1,0,0,920.84,0.0193603,55.13,0,1,0,0,0,0,0,0,1
10,0,0,0,0,1,0,1,0,0,0,0,1,0,965.15,0.962121,63.51,0,1,0,0,0,0,0,1,0
28,0,1,0,0,0,0,1,0,0,1,0,0,0,787.73,1,57.21,0,0,0,1,0,1,0,0,0
25,0,0,0,0,1,0,1,0,1,0,0,0,0,987.45,0.354377,89.76,0,0,0,1,0,1,0,0,0
25,1,0,0,0,0,0,1,0,0,1,0,0,0,536.49,0.211279,66.35,0,1,0,0,0,0,1,0,0
23,0,1,0,0,0,0,1,0,0,1,0,0,0,451.87,0.977273,55.19,0,1,0,0,1,0,0,0,0
16,0,0,0,0,1,0,1,0,0,0,0,1,0,1172.65,0.0547138,85.37,0,0,1,0,1,0,0,0,0
11,0,0,1,0,0,0,0,1,0,0,0,0,1,531.72,0.792088,66.3,1,0,0,0,0,0,0,1,0
27,0,0,1,0,0,0,1,0,1,0,0,0,0,552.28,0.211279,63.51,0,0,0,1,0,1,0,0,0
10,0,1,0,0,0,0,0,1,0,0,1,0,0,639.19,0.431818,79.37,0,1,0,0,1,0,0,0,0
31,0,0,1,0,0,1,0,0,0,0,1,0,0,1185.73,0.39899,71.75,1,0,0,0,0,1,0,0,0
30,0,0,1,0,0,0,1,0,0,0,0,0,1,606.97,0.751684,69.44,1,0,0,0,0,1,0,0,0
22,0,0,1,0,0,0,0,1,0,0,0,0,1,1036.83,0.416667,64.18,1,0,0,0,1,0,0,0,0
31,0,0,0,1,0,1,0,0,0,1,0,0,0,850.27,0.961279,87.2,0,1,0,0,0,0,0,1,0
17,0,0,0,1,0,0,0,1,1,0,0,0,0,721.92,0.837542,71.17,0,1,0,0,1,0,0,0,0
33,0,0,0,0,1,0,1,0,0,1,0,0,0,572.61,0.455387,59.93,0,0,1,0,0,1,0,0,0
35,0,0,1,0,0,0,0,1,0,0,0,0,1,552.28,0.104377,60.94,1,0,0,0,0,1,0,0,0
31,0,0,0,0,1,1,0,0,0,0,1,0,0,870.6,0.030303,65.11,1,0,0,0,1,0,0,0,0
10,0,0,0,0,1,0,0,1,1,0,0,0,0,548.89,0.0151515,71.36,0,1,0,0,0,0,0,0,1
28,0,0,0,1,0,0,0,1,0,0,1,0,0,481.5,0.874579,69.63,0,0,1,0,0,1,0,0,0
13,0,1,0,0,0,0,0,1,0,0,0,0,1,1105.29,0.874579,62.98,1,0,0,0,0,0,1,0,0
24,0,0,0,1,0,0,1,0,0,0,0,0,1,1045.13,0.675926,56.28,0,1,0,0,0,0,0,0,1
22,0,0,0,0,1,0,1,0,0,1,0,0,0,1178.36,0.751684,52.99,0,0,0,1,0,0,1,0,0
30,0,0,0,1,0,0,0,1,0,0,0,1,0,982.08,0.68771,50.24,0,1,0,0,0,0,1,0,0
31,0,0,1,0,0,0,1,0,0,0,1,0,0,1180.79,0.396465,65.74,0,1,0,0,0,0,1,0,0
16,0,1,0,0,0,0,1,0,1,0,0,0,0,794.95,0.223064,74.25,1,0,0,0,1,0,0,0,0
35,0,0,0,1,0,0,1,0,1,0,0,0,0,641.83,0.271886,79.97,0,0,0,1,0,0,0,1,0
30,0,1,0,0,0,0,1,0,0,0,0,1,0,1048.88,0.962121,52.81,1,0,0,0,0,1,0,0,0
30,1,0,0,0,0,0,1,0,0,0,0,0,1,1053.47,0.751684,84.04,0,1,0,0,0,0,0,0,1
21,0,1,0,0,0,0,1,0,0,0,1,0,0,965.02,0.930135,86.56,0,0,1,0,0,0,1,0,0
12,1,0,0,0,0,0,1,0,1,0,0,0,0,1129.01,0.351852,79.37,0,0,0,1,0,1,0,0,0
16,0,1,0,0,0,0,0,1,1,0,0,0,0,895.2,0.351852,75.09,1,0,0,0,0,0,0,0,1
26,0,0,0,0,1,1,0,0,0,0,0,1,0,685.04,0.311448,58.14,1,0,0,0,0,0,0,1,0
20,0,0,0,1,0,1,0,0,0,0,0,0,1,423.57,0,79.37,0,1,0,0,0,0,0,0,1
14,0,1,0,0,0,1,0,0,1,0,0,0,0,531.72,0.239057,65.64,0,1,0,0,0,0,0,0,1
14,0,0,1,0,0,0,1,0,0,0,0,1,0,1197.05,0.68266,57.55,0,1,0,0,0,0,0,1,0
30,0,0,1,0,0,0,1,0,0,0,1,0,0,633.56,0.462121,84.64,0,0,1,0,1,0,0,0,0
20,0,0,0,1,0,0,0,1,0,0,0,0,1,797.17,0.27862,76.36,0,1,0,0,0,0,1,0,0
10,0,0,1,0,0,1,0,0,0,0,0,1,0,750.53,0.46633,58.92,0,1,0,0,0,0,0,1,0
30,0,0,0,1,0,0,1,0,1,0,0,0,0,594.66,0.499158,84.12,0,0,1,0,0,1,0,0,0
20,0,0,0,0,1,0,0,1,0,0,0,0,1,456.19,0.18266,73.41,0,0,1,0,0,0,0,0,1
17,0,0,0,0,1,0,1,0,0,0,1,0,0,1002.31,0.220539,85.43,0,0,0,1,1,0,0,0,0
23,0,0,1,0,0,0,1,0,1,0,0,0,0,662.2,0.705387,66.35,0,0,0,1,0,1,0,0,0
12,1,0,0,0,0,0,1,0,0,0,0,1,0,531.72,0.515152,52.01,0,0,1,0,0,0,0,1,0
20,0,0,0,1,0,1,0,0,0,0,1,0,0,983.06,0.186869,59.1,0,0,0,1,0,0,1,0,0
24,0,0,1,0,0,0,1,0,0,0,0,1,0,1148.18,0.889731,70.58,1,0,0,0,0,0,1,0,0
28,0,0,0,0,1,0,1,0,0,1,0,0,0,546.57,0.97138,58.3,0,0,1,0,0,0,0,0,1
18,0,0,0,0,1,1,0,0,0,0,0,1,0,594.66,0.416667,59.53,0,1,0,0,0,1,0,0,0
31,0,1,0,0,0,0,1,0,0,1,0,0,0,759.45,0.179293,63.02,0,1,0,0,0,0,0,0,1
31,0,0,0,0,1,0,1,0,0,1,0,0,0,488.44,0.515152,79.55,0,0,1,0,0,0,0,1,0
33,0,0,1,0,0,0,1,0,0,0,0,0,1,1053.47,0.588384,83.18,1,0,0,0,0,1,0,0,0
34,0,0,0,1,0,0,1,0,0,0,0,0,1,423.57,0.726431,72.98,1,0,0,0,0,0,0,1,0
31,0,0,0,0,1,0,1,0,0,0,0,0,1,1105.29,0.0496633,75.15,0,1,0,0,0,1,0,0,0
26,0,0,0,1,0,0,1,0,0,0,0,1,0,879.37,0.776936,82.15,0,1,0,0,1,0,0,0,0
10,1,0,0,0,0,0,1,0,0,0,0,0,1,1104.02,0.0387205,57.66,0,0,0,1,0,1,0,0,0
24,0,1,0,0,0,0,0,1,0,0,1,0,0,1185.73,0.274411,89.76,0,0,0,1,0,0,1,0,0
16,0,0,1,0,0,1,0,0,1,0,0,0,0,987.45,0.780303,66.35,0,0,1,0,0,0,0,0,1
10,1,0,0,0,0,0,1,0,1,0,0,0,0,621.49,0.0968013,85.68,0,0,1,0,0,0,0,1,0
21,0,1,0,0,0,1,0,0,0,0,0,1,0,418.93,0.255051,87.2,0,0,0,1,0,0,0,1,0
35,0,0,0,1,0,1,0,0,0,0,1,0,0,1135.15,0.852694,86.45,0,0,0,1,0,0,0,1,0
13,0,0,0,0,1,0,0,1,0,0,0,0,1,1005.85,0.457912,54.49,0,0,0,1,1,0,0,0,0
21,0,0,1,0,0,0,0,1,0,0,0,1,0,780.49,0.780303,56.29,0,1,0,0,0,0,0,1,0
31,0,0,0,0,1,0,1,0,0,0,0,0,1,618.17,0.23569,84.64,0,1,0,0,0,0,1,0,0
21,0,0,0,0,1,0,1,0,0,0,0,0,1,886.96,0.170875,51.66,0,0,1,0,1,0,0,0,0
16,0,0,1,0,0,0,0,1,0,1,0,0,0,1063.5,0.45202,80.74,1,0,0,0,0,0,0,1,0
31,0,0,0,1,0,1,0,0,1,0,0,0,0,721.83,0.435185,70.38,0,1,0,0,0,0,1,0,0
12,0,0,1,0,0,1,0,0,0,0,1,0,0,458.01,0.373737,59.53,0,0,1,0,0,0,0,1,0
20,0,1,0,0,0,0,1,0,0,0,1,0,0,1051.84,0.897306,84.28,0,0,0,1,0,0,1,0,0
21,0,0,0,0,1,0,1,0,0,0,0,1,0,496.31,0.275253,51.21,0,1,0,0,0,0,1,0,0
28,0,1,0,0,0,1,0,0,0,0,0,0,1,622.58,0.0656566,59.62,0,0,0,1,0,0,1,0,0
27,0,0,0,1,0,0,0,1,0,0,1,0,0,423.57,0.314815,55.13,1,0,0,0,0,0,0,0,1
34,0,0,0,0,1,0,1,0,0,1,0,0,0,495.97,0.531987,67.98,1,0,0,0,0,0,0,1,0
25,0,0,0,0,1,0,0,1,0,0,0,1,0,825.44,0.259259,67.05,0,1,0,0,0,0,0,0,1
23,0,0,1,0,0,0,1,0,1,0,0,0,0,918.68,0.27862,53.39,0,0,1,0,0,0,1,0,0
28,0,0,0,0,1,1,0,0,0,0,0,0,1,933.08,0.68771,55.92,0,1,0,0,0,0,0,0,1
19,0,0,0,0,1,1,0,0,0,1,0,0,0,830.84,0.835017,79.89,0,0,1,0,1,0,0,0,0
10,0,0,0,0,1,0,1,0,0,0,1,0,0,403.48,0.459596,63.8,0,0,0,1,0,0,1,0,0
17,1,0,0,0,0,0,0,1,0,0,0,1,0,948.8,0.0117845,75.15,0,1,0,0,0,0,1,0,0
33,0,0,1,0,0,0,1,0,1,0,0,0,0,817.96,0.526936,64.35,0,0,0,1,0,1,0,0,0
28,0,0,0,0,1,0,1,0,0,0,0,1,0,639.85,0.0656566,86.44,0,1,0,0,0,0,1,0,0
27,0,0,0,0,1,1,0,0,1,0,0,0,0,431.49,0.632997,87.85,0,0,0,1,0,0,1,0,0
29,0,0,0,1,0,1,0,0,0,0,0,1,0,850.27,0.104377,76.49,0,0,0,1,0,0,1,0,0
16,0,0,1,0,0,0,1,0,0,1,0,0,0,1016.47,0.857744,52.4,0,1,0,0,0,0,0,0,1
20,0,0,0,1,0,0,0,1,0,1,0,0,0,1083.32,0.192761,79.61,0,0,1,0,0,0,1,0,0
16,0,0,0,0,1,1,0,0,1,0,0,0,0,622.56,0.440236,76.29,0,0,0,1,1,0,0,0,0
10,0,1,0,0,0,0,1,0,0,0,0,1,0,1053.47,0.345118,87.59,1,0,0,0,0,1,0,0,0
33,0,0,0,0,1,1,0,0,0,0,1,0,0,965.15,0.239057,87.85,0,0,1,0,0,0,1,0,0
30,0,0,0,1,0,1,0,0,0,1,0,0,0,766.75,0.852694,71.17,1,0,0,0,1,0,0,0,0
26,0,0,0,1,0,0,1,0,0,0,1,0,0,1055.38,0.838384,86.44,0,0,1,0,0,0,0,0,1
13,0,0,0,0,1,0,1,0,1,0,0,0,0,1177.35,0.806397,56.61,0,0,0,1,0,0,1,0,0
15,0,0,0,0,1,0,1,0,0,1,0,0,0,1036.42,0.211279,70.1,0,1,0,0,0,0,1,0,0
14,0,0,1,0,0,0,1,0,0,0,0,0,1,711.25,0.974747,56.19,0,1,0,0,0,0,0,0,1
24,0,0,0,1,0,0,1,0,0,0,1,0,0,992.86,0.617845,87.63,0,1,0,0,0,1,0,0,0
20,1,0,0,0,0,0,0,1,0,0,1,0,0,787.76,0.30303,87.2,0,0,0,1,0,1,0,0,0
29,1,0,0,0,0,0,0,1,0,0,1,0,0,1134.14,0.0547138,66.73,1,0,0,0,1,0,0,0,0
16,0,0,0,1,0,0,0,1,1,0,0,0,0,487.38,0.0984848,69.78,0,0,0,1,1,0,0,0,0
19,0,0,0,1,0,0,1,0,0,0,0,0,1,1045.13,0,62.98,0,0,0,1,1,0,0,0,0
22,0,0,0,1,0,0,1,0,0,0,0,0,1,441.24,0.645623,86.95,0,0,1,0,0,1,0,0,0
24,0,0,1,0,0,1,0,0,0,1,0,0,0,1197.05,0.538721,74.68,0,0,1,0,1,0,0,0,0
16,0,0,0,0,1,0,1,0,0,0,0,1,0,627.44,0.400673,65.49,0,0,0,1,1,0,0,0,0
25,1,0,0,0,0,1,0,0,0,0,0,0,1,1191.63,0.106061,77.6,0,1,0,0,1,0,0,0,0
25,0,1,0,0,0,1,0,0,0,1,0,0,0,783.55,0.23569,86.89,0,0,1,0,0,1,0,0,0
24,0,0,0,1,0,0,1,0,1,0,0,0,0,1191.63,0.26936,84.29,0,1,0,0,0,1,0,0,0
28,0,1,0,0,0,0,1,0,0,0,0,0,1,971.66,0.713805,87.59,0,0,0,1,0,1,0,0,0
22,1,0,0,0,0,1,0,0,0,0,0,0,1,1004.33,0.589226,67.05,0,0,0,1,0,0,1,0,0
19,1,0,0,0,0,1,0,0,1,0,0,0,0,693.83,0.893939,74.39,0,0,0,1,1,0,0,0,0
12,0,0,0,0,1,0,0,1,1,0,0,0,0,1117.49,0.834175,86.99,1,0,0,0,0,0,0,0,1
19,0,0,0,0,1,0,1,0,0,0,0,0,1,418.93,0.46633,77,1,0,0,0,1,0,0,0,0
10,0,1,0,0,0,1,0,0,0,0,0,1,0,698.51,0.994108,54.49,0,0,0,1,1,0,0,0,0
16,0,0,0,1,0,1,0,0,0,0,0,1,0,933.08,0.838384,60.15,0,0,1,0,0,0,0,1,0
16,0,1,0,0,0,0,0,1,0,0,1,0,0,721.83,0.617845,86.99,1,0,0,0,0,0,1,0,0
28,0,0,0,1,0,0,1,0,0,0,1,0,0,482.36,0.889731,52.01,0,0,0,1,1,0,0,0,0
12,0,0,0,1,0,0,0,1,0,0,0,1,0,418.93,0.714646,63.8,1,0,0,0,0,0,0,1,0
35,0,0,0,0,1,0,1,0,1,0,0,0,0,496.31,0.994108,53.86,1,0,0,0,0,0,0,0,1
17,1,0,0,0,0,1,0,0,0,0,0,0,1,948.8,0.286195,81.18,0,1,0,0,0,0,1,0,0
25,0,0,0,1,0,0,1,0,0,1,0,0,0,933.08,0.311448,56.29,0,1,0,0,0,0,1,0,0
23,0,0,1,0,0,0,1,0,0,0,1,0,0,594.66,0.933502,78.69,0,1,0,0,0,0,0,1,0
12,0,0,0,0,1,1,0,0,0,0,0,0,1,508.78,0.315657,76.36,0,0,0,1,1,0,0,0,0
34,1,0,0,0,0,1,0,0,0,1,0,0,0,845.8,0.776936,76.36,0,1,0,0,0,0,1,0,0
22,1,0,0,0,0,0,1,0,1,0,0,0,0,481.5,0.589226,77.03,0,0,0,1,1,0,0,0,0
34,0,0,1,0,0,0,1,0,0,0,1,0,0,1005.87,0.0244108,86.45,0,0,0,1,0,0,0,1,0
15,0,0,1,0,0,0,1,0,0,0,0,1,0,618.17,0.39899,65.49,0,0,1,0,0,0,0,1,0
10,1,0,0,0,0,0,1,0,0,0,1,0,0,988.21,0.0117845,84.84,0,0,1,0,0,0,0,1,0
24,0,0,1,0,0,0,1,0,0,1,0,0,0,423.57,0.0723906,63.64,1,0,0,0,0,1,0,0,0
34,0,0,1,0,0,0,1,0,0,0,0,1,0,487.38,0.675926,86.78,0,0,1,0,0,1,0,0,0
22,1,0,0,0,0,0,0,1,0,0,0,0,1,456.4,0.0707071,59.93,0,1,0,0,0,1,0,0,0
23,0,0,1,0,0,0,1,0,0,0,1,0,0,993.72,0.743266,69.63,0,1,0,0,0,0,0,0,1
28,0,0,1,0,0,0,1,0,0,0,0,1,0,618.17,0.507576,85.35,0,1,0,0,1,0,0,0,0
